name	authors	year	valid
Anochetus oriens	Kempf	1964	valid
Anochetus orientalis	André	1887	valid
Anochetus pangantihoni	Zettel	2012	valid
Anochetus pangens	Walker	1859	valid
Anochetus paripungens	[no authors]	1978	valid
Anochetus parvus	Santschi	1914	invalid
Anochetus pasteuri	Santschi	1923	invalid
Anochetus pattersoni	Fisher & Smith	2008	valid
Anochetus pellucidus	[no authors]	1902	valid
Anochetus peracer	[no authors]	1978	valid
Anochetus princeps	Emery	1884	valid
Anochetus pubescens	[no authors]	1978	valid
Anochetus punctaticeps	Mayr	1901	valid
Anochetus punctatus	Santschi	1914	invalid
Anochetus punctiventris	Mayr	1879	invalid
Anochetus pupulatus	[no authors]	1978	valid
Anochetus quadrispinosus	Smith	1858	invalid
Anochetus rectangularis	Mayr	1876	valid
Anochetus renatae	[no authors]	2012	valid
Anochetus risii	Forel	1900	valid
Anochetus rossi	Donisthorpe	1947	invalid
Anochetus rossi	Donisthorpe	1949	valid
Anochetus rothschildi	Forel	1907	valid
Anochetus rudis	Emery	1889	invalid
Anochetus rufolatus	[no authors]	2012	valid
Anochetus rufostenus	[no authors]	2012	valid
Anochetus rufus	Jerdon	1851	valid
Anochetus ruginotus	Stitz	1925	valid
Anochetus rugosus	Smith	1857	valid
Anochetus schoedli	Zettel	2012	valid
Anochetus schoutedeni	Santschi	1923	invalid
Anochetus sedilloti	Emery	1884	valid
Anochetus seminiger	Donisthorpe	1943	valid
Anochetus serratus	Stitz	1925	invalid
Anochetus shohki	Terayama	1996	valid
Anochetus silvaticus	Bernard	1953	invalid
Anochetus simoni	Emery	1890	valid
Anochetus siphneus	[no authors]	1978	valid
Anochetus smithii	Roger	1863	invalid
Anochetus splendens	Karavaiev	1925	invalid
Anochetus splendidulus	Yasumatsu	1940	valid
Anochetus striatulus	Emery	1890	valid
Anochetus strigatellus	[no authors]	1978	valid
Anochetus subcoecus	Forel	1912	valid
Anochetus sudanicus	Weber	1942	invalid
Anochetus taiwaniensis	Terayama	1989	valid
Anochetus talpa	Forel	1901	valid
Anochetus targionii	Emery	1894	valid
Anochetus taylori	Forel	1900	invalid
Anochetus testaceus	Forel	1893	valid
Anochetus traegaordhi	Mayr	1904	valid
Anochetus tua	[no authors]	1978	valid
Anochetus turneri	Forel	1900	valid
Anochetus tyrannicus	Smith	1861	invalid
Anochetus vallensis	Lattke	1987	valid
Anochetus variegatus	Donisthorpe	1938	valid
Anochetus veronicae	[no authors]	2012	valid
Anochetus vexator	Kempf	1964	valid
Anochetus victoriae	[no authors]	2012	valid
Anochetus werneri	Zettel	2012	valid
Anochetus wiesiae	[no authors]	2012	valid
Anochetus yerburyi	Forel	1900	valid
Anochetus yunnanensis	Wang	1993	valid
Anomalomyrma boltoni	[no authors]	2011	valid
Anomalomyrma helenae	[no authors]	2011	valid
Anomalomyrma taylori	Bolton	1990	valid
Anonychomyrma anguliceps	Forel	1901	valid
Anonychomyrma angusta	Stitz	1911	valid
Anonychomyrma arcadia	Forel	1915	valid
Anonychomyrma biconvexa	Santschi	1928	valid
Anonychomyrma constricta	Mayr	1868	valid
Anonychomyrma dimorpha	Viehmeyer	1912	valid
