5523,"Abdul-Rassoul, M. S.; Dawah, H. A.; Othman, N. Y.",1978.,197804,"Records of insect collection (Part I) in the Natural History Research Centre, Baghdad.",Bull. Nat. Hist. Res. Cent. Univ. Baghdad 7(2):1-6.,"{Formicidae pp. 4-6.} Paper deals with Cicadelloidea, Dermaptera, and Formicidae.",PSW
2641,"Alayo, P.",1974.,1974,Introducción al estudio de los Himenópteros de Cuba. Superfamilia Formicoidea.,Ser. Biol. Acad. Cienc. Cuba 53:1-58.,"Date from Bolton. Author given as ""Pastor Alayo D."".",PSW,,,
3704,"Alayo, P.; Zayas Montero, L.",1977.,19771004,Estudios sobre los Himenópteros de Cuba. VII. Dos nuevas especies para la fauna mirmecológica cubana.,Poeyana Inst. Zool. Acad. Cienc. Cuba 174:1-5.,"Author given as ""Pastor Alayo D."".",PSW,,,
6889,"Albrecht, A.",1993.,19930329,"Formica cunicularia Latreille (Hymenoptera, Formicidae) new to Finland.",Entomol. Fenn. 4:13.,UCD Shields QL482.F5.E58.,Seen(PSW),,,
8252,"Albrecht, M.",1995.,1995,"New species distributions of ants in Oklahoma, including a South American invader.",Proc. Okla. Acad. Sci. 75:21-24.,Not listed in Ward et al. (1996).,PSW
8251,"Aldana, R. C.; Baena, M. L.; Chacón de Ulloa, P.",1995.,199506,"Introducción de la hormiga loca (Paratrechina fulva) a la Reserva Natural Laguna de Sonso (Valle del Cauca, Colombia).",Bol. Mus. Entomol. Univ. Valle 3(1):15-28.,"Cover of issue dated ""Junio 1995"". May have been published later. Not listed in Ward et al. (1996).",PSW
8253,"Aldana, R. C.; Chacón de Ulloa, P.",1995.,199512,Nuevos registros de hormigas (Hymenoptera: Formicidae) para Colombia.,Bol. Mus. Entomol. Univ. Valle 3(2):55-59.,"Article is in ""December 1995"" issue, but may have been published in 1996. Lenomyrmex introduced as nomen nudum. This paper not listed in Ward et al. (1996).",PSW
4708,"Alfieri, A.",1931.,1931,Contribution à l'étude de la faune myrmécologique de l'Egypte.,Bull. Soc. Entomol. Egypte 15:42-48.,,PSW
5958,"Ali, M. F.; Attygalle, A. B.; Morgan, E. D.; Billen, J. P. J.",1987.,1987,The Dufour gland substances of the workers of Formica fusca and Formica lemani (Hymenoptera: Formicidae).,Comp. Biochem. Physiol. B. Comp. Biochem. 88:59-63.,,PSW
6000,"Ali, M. F.; Billen, J. P. J.; Jackson, B. D.; Morgan, E. D.",1988.,19881214,"Secretion of the Dufour glands of two African desert ants, Camponotus aegyptiacus and Cataglyphis savignyi (Hymenoptera: Formicidae).",Biochem. Syst. Ecol. 16:647-654.,,PSW
4737,"Ali, M. F.; Billen, J. P. J.; Jackson, B. D.; Morgan, E. D.",1989.,19891108,The Dufour gland contents of three species of Euro-African Messor ants and a comparison with those of North American Pogonomyrmex (Hymenoptera: Formicidae).,Biochem. Syst. Ecol. 17:469-477.,,PSW
5953,"Ali, M. F.; Morgan, E. D.; Attygalle, A. B.; Billen, J. P. J.",1987.,198708,Comparison of Dufour gland secretions of two species of Lepthothorax ants (Hymenoptera: Formicidae).,Z. Naturforsch. C J. Biosci. 42:955-960.,,PSW
7135,"Allen, C. R.; Phillips, S. A., Jr.; Trostle, M. R.",1993.,199312,Range expansion by the ecologically disruptive red imported fire ant into the Texas Rio Grande Valley.,Southwest. Entomol. 18:315-316.,,Seen(PSW)
3705,"Allen, G. E.; Buren, W. F.",1974.,19740822,Microsporidan and fungal diseases of Solenopsis invicta Buren in Brazil.,J. N. Y. Entomol. Soc. 82:125-130.,,PSW
3706,"Allen, G. E.; Buren, W. F.; Williams, R. N.; de Menezes, M.; Whitcomb, W. H.",1974.,19740115,"The red imported fire ant, Solenopsis invicta; distribution and habitat in Mato Grosso, Brazil.",Ann. Entomol. Soc. Am. 67:43-46.,,PSW
6394,"Allen, G. W.",1989.,1989,A key to the worker castes of the ants of Kent (Hymenoptera: Formicidae).,Trans. Kent Field Club 11:8-23.,"ANTBIB Misc. Notes, p. 161; Zool. Record (1990/91).",Seen(PSW)
4709,"Allen, P.",1957.,19570627,"Studies of some intercastes of Myrmica rubra L. (Hym., Formicidae).",Entomol. Mon. Mag. 93:136-139.,,PSW
636,"Allies, A. B.; Bourke, A. F. G.; Franks, N. R.",1986.,198605,Propaganda substances in the cuckoo ant Leptothorax kutteri and the slave-maker Harpagoxenus sublaevis.,J. Chem. Ecol. 12:1285-1293.,,PSW
4411,"Alloway, T. M.",1979.,197902,"Raiding behavior of two species of slave-making ants, Harpagoxenus americanus (Emery) and Leptothorax duloticus Wesson (Hymenoptera: Formicidae).",Anim. Behav. 27:202-210.,,PSW
3334,"Alloway, T. M.",1980.,198002,The origins of slavery in leptothoracine ants (Hymenoptera: Formicidae).,Am. Nat. 115:247-261.,,PSW
4802,"Alloway, T. M.; Buschinger, A.; Talbot, M.; Stuart, R.; Thomas, C.","1983 (""1982"").",19830427,Polygyny and polydomy in three North American species of the ant genus Leptothorax Mayr (Hymenoptera: Formicidae).,Psyche (Camb.) 89:249-274.,,PSW
4777,"Allred, D. M.",1982.,19821231,Ants of Utah.,Great Basin Nat. 42:415-511.,,PSW
2522,"Allred, D. M.; Cole, A. C., Jr.",1971.,19711231,Ants of the National Reactor Testing Station.,Great Basin Nat. 31:237-242.,,PSW
4778,"Allred, D. M.; Cole, A. C., Jr.",1979.,19790331,Ants from northern Arizona and southern Utah.,Great Basin Nat. 39:97-102.,,PSW
7832,"Almeida Filho, A. J. de.",1984.,,"Notas sobre Strumigenys louisianae (Hymenoptera, Formicidae) e sua ocorrência no nordeste do Brasil.",Quid (Teresina) 5:133-139.,Copy rec'd from Brandão (8.viii.1995). In volume 5(1).,PSW
6266,"Almeida Filho, A. J. de.",1986.,198612,"Descrição de quatro machos do gênero Ectatomma Smith, 1858 (Hymenoptera, Formicidae, Ponerinae).",Quid (Teresina) 6:24-38.,Copy rec'd from Brandão (8.viii.1995). In volume 6(1). Also cited in Brandão (1991). Includes description of a new species of Ectatomma: E. suzanae.,PSW
6267,"Almeida Filho, A. J. de.",1987a.,,"Descrição de seis fêmeas do gênero Ectatomma Smith, 1858 (Hymenoptera, Formicidae, Ponerinae).",An. Soc. Nordestina Zool. 1:175-183.,Copy rec'd from Brandão (8.viii.1995). Also cited in Brandão (1991).,PSW
7389,"Almeida Filho, A. J. de.",1987b.,,"Morfologia externa de Ectatomma quadridens Fabricius (Hymenoptera, Formicidae, Ponerinae).",An. Soc. Nordestina Zool. 2:185-198.,Copy rec'd from Brandão (8.viii.1995). Also cited in Loureiro & Soares (1990).,PSW
7993,"Almeida Toledo, L. F. de.",1967.,196712,Histo-anatomia de glândulas de Atta sexdens rubropilosa Forel (Hymenoptera).,Arq. Inst. Biol. (São Paulo) 34:321-329.,"ANTBIB Misc. Notes, p. 213.",Seen(PSW)
5925,"Alonso de Medina, E.; Espadaler, X.",1981.,1981,Nota sobre la entomofauna de la Sierra de Prades (Tarragona) (Formícidos).,Publ. Dep. Zool. (Barc.) 7:67-71.,,PSW
3815,"Alpatov, V. V.",1922.,,The lower systematic categories and variation of ants. [In Russian.],Byull. Vseross. Entomo-Fitopatol. S'ezda 3:10.,"{Not seen. Cited in Zoological Record for 1922.} Also Brown reprint cards. Alternate citation: P. 10 in: Bulletin of the 3rd All-Russian Entomo-Phytopathological Congress in Petrograd, 18-25 December, 1921. [In Russian.]",None
3816,"Alpatov, V. V.",1924a.,19240720,Die Definition der untersten systematischen Kategorien von Standpunkte des Studiums der Variabilität der Ameisen und der Crustaceen.,Zool. Anz. 60:161-168.,,PSW
3817,"Alpatov, V. V.",1924b.,1924,Variability and the lowest systematic categories in ant systematics. [In Russian.],Rus. Zool. Zh. 4(1/2):227-244.,"ANTBIB Misc. Notes, p. 121.",PSW
3818,"Alpatov, V. V.",1924c.,1924,"The ant fauna of Svyatoy Lake peatbogs near Kosine, Moscow district. [In Russian.]",Tr. Kosinsk. Biol. Stn. 1:28-32.,,PSW
3819,"Alpatov, V. V.",1928.,19280201,"Zur Systematik der Ameisen. Bemerkungen zu dem Artikel Dr. Arnoldis ""Studien über die Systematik der Ameisen, Teil I"".",Zool. Anz. 75:138-140.,,PSW
3821,"Alpatov, V. V.; Palenitschko, Z. G.",1925.,1925,On the relative variability of castes and species of ants. [In Russian.],Rus. Zool. Zh. 5(4):109-116.,"See ANTBIB Misc. Notes, pp. 42, 121.",PSW
6397,"Alpert, G. D.",1992.,19921204,Observations on the genus Terataner in Madagascar (Hymenoptera: Formicidae).,Psyche (Camb.) 99:117-127.,,PSW
4418,"Alpert, G. D.; Akre, R. D.",1973.,19730716,"Distribution, abundance, and behavior of the inquiline ant Leptothorax diversipilosus.",Ann. Entomol. Soc. Am. 66:753-760.,,PSW
8034,"Ambach, J.",1994.,199412,"Die Ameisenfauna der ""Pleschinger Sandgrube"" bei Linz.",Naturkd. Jahrb. Stadt Linz 37-39:259-269.,"ANTBIB Misc. Notes, p. 215.",PSW
4711,"Amstutz, M. E.",1943.,19430820,"The ants of the Kildeer Plain area of Ohio (Hymenoptera, Formicidae).",Ohio J. Sci. 43:165-173.,,PSW
832,"Andersen, A. N.",1983a.,198306,Species diversity and temporal distribution of ants in the semi-arid mallee region of northwestern Victoria.,Aust. J. Ecol. 8:127-137.,,PSW
4803,"Andersen, A. N.",1983b.,198312,"A brief survey of ants in Glenaladale National Park, with particular reference to seed-harvesting.",Vic. Nat. (Melb.) 100:233-237.,Date from Shattuck (13.ix.1992).,PSW
1451,"Andersen, A. N.",1986a.,19860206,"Diversity, seasonality and community organization of ants at adjacent heath and woodland sites in south-eastern Australia.",Aust. J. Zool. 34:53-64.,,PSW
5914,"Andersen, A. N.",1986b.,198603,Patterns of ant community organization in mesic southeastern Australia.,Aust. J. Ecol. 11:87-97.,,PSW
1455,"Andersen, A. N.",1990.,1990,The use of ant communities to evaluate change in Australian terrestrial ecosystems: a review and a recipe.,Proc. Ecol. Soc. Aust. 16:347-357.,,PSW
4525,"Andersen, A. N.",1991a.,199109,Sampling communities of ground-foraging ants: pitfall catches compared with quadrat counts in an Australian tropical savanna.,Aust. J. Ecol. 16:273-279.,,PSW
4357,"Andersen, A. N.",1991b.,199112,Responses of ground-foraging ant communities to three experimental fire regimes in a savanna forest of tropical Australia.,Biotropica 23:575-585.,,PSW
4825,"Andersen, A. N.",1991c.,1991,The ants of southern Australia. A guide to the Bassian fauna.,"Melbourne: CSIRO Publications, vii + 70 pp.",Rec'd April 1991.,PSW
6259,"Andersen, A. N.",1991d.,1991,Seed harvesting by ants in Australia.,"Pp. 493-503 in: Huxley, C. R., Cutler, D. F. (eds.)  Ant-plant interactions.  Oxford: Oxford University Press, xviii + 601 pp.",,PSW
6380,"Andersen, A. N.",1992a.,19920529,The rainforest ant fauna of the northern Kimberley region of western Australia (Hymenoptera: Formicidae).,J. Aust. Entomol. Soc. 31:187-192.,,PSW
4721,"Andersen, A. N.",1992b.,199209,"Regulation of ""momentary"" diversity by dominant species in exceptionally rich ant communities of the Australian seasonal tropics.",Am. Nat. 140:401-420.,,PSW
6810,"Andersen, A. N.",1993a.,199309,Ants as indicators of restoration success at a uranium mine in tropical Australia.,Restor. Ecol. 1:156-167.,,PSW
6803,"Andersen, A. N.",1993b.,19931118,"Ant communities in the Gulf Region of Australia's semi-arid tropics: species composition, patterns of organisation, and biogeography.",Aust. J. Zool. 41:399-414.,,PSW
7996,"Andersen, A. N.",1995a.,199501,"A classification of Australian ant communities, based on functional groups which parallel plant life-forms in relation to stress and disturbance.",J. Biogeogr. 22:15-29.,"January 1995 issue, rec'd UCD 3.x.1995.",PSW
7406,"Andersen, A. N.",1995b.,19950228,"[Review of: Bolton, B. 1994. Identification guide to the ant genera of the world.  Cambridge, Mass.: Harvard University Press, 222 pp.]",J. Aust. Entomol. Soc. 34:28.,,Seen(PSW)
7898,"Andersen, A. N.",1995c.,1995,Measuring more of diversity: genus richness as a surrogate for species richness in Australian ant faunas.,Biol. Conserv. 73:39-43.,Rec'd UCD Shields Library 16 June 1995.,PSW
2501,"Andersen, A. N.; Burbidge, A. H.",1991.,199102,The ants of a vine thicket near Broome: a comparison with the northwest Kimberley.,J. R. Soc. West. Aust. 73:79-82.,,PSW
4712,"Andersen, A. N.; Burbidge, A. H.",1992.,199202,"An overview of the ant fauna of Cape Arid National Park, Western Australia.",J. R. Soc. West. Aust. 75:41-46.,,PSW
